LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
14.56481,120.99321,2021,3,1,7.21,27.47,23.28,25.06,31.01,23.81,26.84,0.54,6.42,5.24,10.36
14.56481,120.99321,2021,3,2,8.15,27.94,23.28,25.17,31.44,23.29,27.06,0.64,6.53,6.23,10.02
14.56481,120.99321,2021,3,3,7,27.31,23.1,24.84,30.88,23.87,26.58,0.51,-999,5,10.18
14.56481,120.99321,2021,3,4,7.7,27.04,22.12,24.16,30.9,23.2,26.21,0.59,-999,5.71,10.09
14.56481,120.99321,2021,3,5,8.38,26.92,21.99,24.03,31.06,22.68,26.07,0.64,-999,6.22,9.66
14.56481,120.99321,2021,3,6,8.61,26.77,21.44,23.66,30.86,22.25,25.89,0.65,6.74,6.36,9.35
14.56481,120.99321,2021,3,7,8.58,26.59,21.15,23.41,30.93,22.35,25.68,0.63,-999,6.24,9.56
14.56481,120.99321,2021,3,8,9.13,26.82,21.61,23.76,31.05,21.92,25.9,0.61,-999,6.01,9.64
14.56481,120.99321,2021,3,9,7.71,26.68,21.32,23.58,30.58,22.87,25.84,0.48,-999,4.76,9.94
14.56481,120.99321,2021,3,10,9,26.56,20.8,23.23,30.9,21.9,25.66,0.62,-999,6.17,9.49
14.56481,120.99321,2021,3,11,8.79,26.75,20.91,23.4,30.98,22.18,25.88,0.63,-999,6.23,9.7
14.56481,120.99321,2021,3,12,7.97,27.21,21.89,24.14,31.05,23.08,26.38,0.39,-999,3.88,10.4
14.56481,120.99321,2021,3,13,7.2,27.1,21.84,24.09,30.77,23.57,26.34,0.33,-999,3.35,10.8
14.56481,120.99321,2021,3,14,6.83,26.81,22.25,24.18,30.2,23.37,26.12,0.49,-999,4.9,10.59
14.56481,120.99321,2021,3,15,6.15,26.91,22.95,24.67,29.9,23.75,26.38,0.48,-999,4.79,10.63
14.56481,120.99321,2021,3,16,5.25,27.22,23.52,25.14,29.67,24.42,26.76,0.57,-999,5.79,10.69
14.56481,120.99321,2021,3,17,6.3,28.06,23.45,25.44,30.75,24.46,27.43,0.59,6.79,6,10.49
14.56481,120.99321,2021,3,18,6.22,27.87,23.7,25.54,30.86,24.64,27.38,0.6,-999,6.13,10.47
14.56481,120.99321,2021,3,19,7.21,28.45,23.53,25.57,31.35,24.14,27.61,0.55,-999,5.57,10.55
14.56481,120.99321,2021,3,20,6.55,28.1,23.69,25.54,31.06,24.51,27.4,0.58,6.84,5.92,10.53
14.56481,120.99321,2021,3,21,6.69,27.99,23.76,25.52,31.09,24.41,27.27,0.58,-999,5.87,10.56
14.56481,120.99321,2021,3,22,5.67,27.33,23.14,24.97,30.35,24.68,26.8,0.59,-999,6.05,10.38
14.56481,120.99321,2021,3,23,7.21,27.8,21.97,24.4,31.29,24.08,26.84,0.48,-999,4.89,10.44
14.56481,120.99321,2021,3,24,8.51,28.13,22.04,24.51,31.98,23.48,26.98,0.53,-999,5.41,10.43
14.56481,120.99321,2021,3,25,9.62,28.5,21.99,24.66,32.95,23.33,27.32,0.66,-999,6.83,9.85
14.56481,120.99321,2021,3,26,9.5,28.49,22.74,25.07,32.68,23.18,27.41,0.54,-999,5.57,10.01
14.56481,120.99321,2021,3,27,9.59,29.3,22.8,25.43,33.29,23.7,28.05,0.62,-999,6.39,10.19
14.56481,120.99321,2021,3,28,9.6,29.86,22.73,25.6,33.71,24.12,28.47,0.63,-999,6.51,10.06
14.56481,120.99321,2021,3,29,9.42,30.12,23.15,25.97,33.95,24.54,28.8,0.61,-999,6.32,10.22
14.56481,120.99321,2021,3,30,10.65,30.34,22.47,25.67,34.77,24.12,28.88,0.66,-999,6.87,9.82
14.56481,120.99321,2021,3,31,9.87,29.79,22.76,25.66,34.04,24.17,28.55,0.59,-999,6.16,9.95
