LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
14.56481,120.99321,2020,11,1,2.48,25.21,23.19,23.19,25.68,23.2,24.68,0.08,-999,0.7,10.77
14.56481,120.99321,2020,11,2,2.93,26.71,24.64,24.66,28.26,25.33,26.39,0.41,-999,3.64,10.67
14.56481,120.99321,2020,11,3,4.53,27.15,24.4,24.38,29.44,24.92,26.9,0.54,-999,4.78,10.67
14.56481,120.99321,2020,11,4,2.49,26.54,24.68,24.7,27.64,25.15,26.1,0.41,-999,3.6,10.73
14.56481,120.99321,2020,11,5,5.42,27.16,24.08,24.07,29.55,24.13,26.56,0.48,-999,4.15,10.66
14.56481,120.99321,2020,11,6,5.52,27.67,24.21,24.19,30.05,24.53,26.97,0.61,-999,5.27,10.55
14.56481,120.99321,2020,11,7,4.85,26.72,24.25,24.26,29.26,24.41,26.28,0.2,-999,1.78,10.77
14.56481,120.99321,2020,11,8,3.94,26.64,25.09,25.09,28.67,24.74,26.42,0.32,-999,2.73,10.8
14.56481,120.99321,2020,11,9,2.95,26.58,24.73,24.75,28.05,25.1,26.37,0.45,-999,3.85,10.65
14.56481,120.99321,2020,11,10,3.3,26.73,24.34,24.34,28.5,25.2,26.63,0.53,-999,4.59,10.73
14.56481,120.99321,2020,11,11,3.86,26.29,24.31,24.29,28.75,24.88,26.29,0.41,-999,3.49,10.79
14.56481,120.99321,2020,11,12,1.92,26,24.78,24.79,26.99,25.08,26.04,0.12,-999,1.05,11.17
14.56481,120.99321,2020,11,13,3.33,26.64,24.94,24.95,28.48,25.15,26.53,0.57,-999,4.82,10.76
14.56481,120.99321,2020,11,14,4.15,26.31,24.58,24.59,28.69,24.53,26.2,0.53,-999,4.5,10.45
14.56481,120.99321,2020,11,15,4.84,26.4,24.36,24.37,29.04,24.2,26.12,0.6,-999,5.07,10.29
14.56481,120.99321,2020,11,16,5.43,26.4,23.92,23.92,29.38,23.95,26.05,0.56,-999,4.7,10.25
14.56481,120.99321,2020,11,17,4.78,26.27,24.2,24.21,28.67,23.89,25.93,0.6,-999,5.04,10.25
14.56481,120.99321,2020,11,18,5.05,26.47,24.34,24.34,29,23.95,26.15,0.59,-999,4.9,10.08
14.56481,120.99321,2020,11,19,5.54,26.56,23.84,23.84,29.54,24,26.19,0.62,5.67,5.21,9.96
14.56481,120.99321,2020,11,20,6.18,27,24.34,24.33,29.99,23.82,26.62,0.62,-999,5.18,10.02
14.56481,120.99321,2020,11,21,5.32,26.5,24.06,24.06,29.17,23.85,26.16,0.6,5.57,4.97,10.11
14.56481,120.99321,2020,11,22,5.26,25.56,22.74,22.71,28.57,23.31,25.21,0.64,-999,5.31,9.51
14.56481,120.99321,2020,11,23,5.31,25.21,22.57,22.56,27.68,22.37,24.74,0.62,-999,5.09,9.81
14.56481,120.99321,2020,11,24,5.54,25.28,22.46,22.45,28.21,22.67,24.91,0.57,-999,4.65,9.64
14.56481,120.99321,2020,11,25,5.97,25.03,22.01,21.99,28.13,22.16,24.64,0.51,5.65,4.17,9.53
14.56481,120.99321,2020,11,26,7.19,25.72,23.09,23.05,29.01,21.82,25.27,0.63,5.59,5.1,9.74
14.56481,120.99321,2020,11,27,4.15,26.2,24.46,24.48,28.35,24.2,25.97,0.22,-999,1.81,10.7
14.56481,120.99321,2020,11,28,3.56,26.06,24.51,24.53,28.11,24.55,25.94,0.49,-999,3.98,10.58
14.56481,120.99321,2020,11,29,4.22,25.99,24.1,24.12,28.36,24.14,25.84,0.26,-999,2.14,10.45
14.56481,120.99321,2020,11,30,5.69,25.52,22.89,22.88,28.14,22.44,25.19,0.48,-999,3.87,10.15
